,Date,Actual,forcast,previous
0,"Mar 27, 2019 ",2.800,-1.100,-9.589
1,"Mar 20, 2019 ",-9.589,0.309,-3.862
2,"Mar 13, 2019 ",-3.862,2.655,7.069
3,"Mar 06, 2019 ",7.069,1.203,-8.647
4,"Feb 27, 2019 ",-8.647,2.842,3.672
5,"Feb 21, 2019 ",3.672,3.080,3.633
6,"Feb 13, 2019 ",3.633,2.668,1.263
7,"Feb 06, 2019 ",1.263,2.179,0.919
8,"Jan 30, 2019 ",0.919,3.100,7.970
9,"Jan 24, 2019 ",7.970,-0.042,-2.683
10,"Jan 16, 2019 ",-2.683,-1.323,-1.680
11,"Jan 09, 2019 ",-1.680,-2.400,0.007
12,"Jan 04, 2019 ",0.007,-3.086,-0.046
13,"Dec 28, 2018 ",-0.046,-2.869,-0.497
14,"Dec 19, 2018 ",-0.497,-2.437,-1.208
15,"Dec 12, 2018 ",-1.208,-2.990,-7.323
16,"Dec 06, 2018 ",-7.323,-0.942,3.577
17,"Nov 28, 2018 ",3.577,0.769,4.851
18,"Nov 21, 2018 ",4.851,2.500,10.270
19,"Nov 15, 2018 ",10.270,3.182,5.783
20,"Nov 07, 2018 ",5.783,2.433,3.217
21,"Oct 31, 2018 ",3.217,4.110,6.346
22,"Oct 24, 2018 ",6.346,3.694,6.490
23,"Oct 17, 2018 ",6.490,1.600,5.987
24,"Oct 11, 2018 ",5.987,2.620,7.975
25,"Oct 03, 2018 ",7.975,1.985,1.852
26,"Sep 26, 2018 ",1.852,-1.279,-2.057
27,"Sep 19, 2018 ",-2.057,-2.741,-5.296
28,"Sep 12, 2018 ",-5.296,-1.300,-4.302
29,"Sep 06, 2018 ",-4.302,-1.294,-2.566
30,"Aug 29, 2018 ",-2.566,-0.686,-5.836
31,"Aug 22, 2018 ",-5.836,-1.497,6.805
32,"Aug 15, 2018 ",6.805,-2.499,-1.351
33,"Aug 08, 2018 ",-1.351,-2.800,3.803
34,"Aug 01, 2018 ",3.803,-2.794,-6.147
35,"Jul 25, 2018 ",-6.147,-2.600,5.836
36,"Jul 18, 2018 ",5.836,-3.622,-12.633
37,"Jul 11, 2018 ",-12.633,-4.489,1.245
38,"Jul 05, 2018 ",1.245,-5.200,-9.891
39,"Jun 27, 2018 ",-9.891,-2.572,-5.914
40,"Jun 20, 2018 ",-5.914,-2.100,-4.143
41,"Jun 13, 2018 ",-4.143,-1.440,2.072
42,"Jun 06, 2018 ",2.072,-2.000,-3.620
43,"May 31, 2018 ",-3.620,-0.400,5.778
44,"May 23, 2018 ",5.778,-1.567,-1.404
45,"May 16, 2018 ",-1.404,-0.763,-2.197
46,"May 09, 2018 ",-2.197,-0.200,6.218
47,"May 02, 2018 ",6.218,0.739,2.170
48,"Apr 25, 2018 ",2.170,-1.600,-1.071
49,"Apr 18, 2018 ",-1.071,-0.500,3.306
50,"Apr 11, 2018 ",3.306,-0.600,-4.617
51,"Apr 04, 2018 ",-4.617,1.400,1.643
52,"Mar 28, 2018 ",1.643,-0.287,-2.622
53,"Mar 21, 2018 ",-2.622,2.600,5.022
54,"Mar 14, 2018 ",5.022,2.023,2.408
55,"Mar 07, 2018 ",2.408,2.723,3.019
56,"Feb 28, 2018 ",3.019,2.400,-1.616
57,"Feb 22, 2018 ",-1.616,1.795,1.841
58,"Feb 14, 2018 ",1.841,2.825,1.895
59,"Feb 07, 2018 ",1.895,3.189,6.776
60,"Jan 31, 2018 ",6.776,0.126,-1.071
61,"Jan 24, 2018 ",-1.071,-1.000,-6.861
